No	대분류	중분류	소분류	테스트 시나리오	테스트 조건	실행 순서	Pass Result	P/F	실제 결과	비고	Tag
11	설정	키설정	점프 키 변경	점프 키를 다른 키로 재바인드한다	설정 패널 열린 상태	1. Jump 버튼 클릭 2. 임의 키 입력	점프 키 설정이 저장되고 버튼 라벨이 갱신된다				설정
12	설정	키설정	상호작용 키 변경	상호작용 키를 변경했을 때 프롬프트와 입력에 반영되는지 확인한다	설정 패널 열린 상태	1. Interact 버튼 클릭 2. 임의 키 입력 3. FREEROAM 씬에서 상호작용 대상 앞에 선다	프롬프트 텍스트가 변경된 키로 표시되고 해당 키 입력으로 상호작용된다				설정
13	설정	키설정	휴대폰 키 변경	휴대폰 키를 변경했을 때 실제 입력에 반영되는지 확인한다	설정 패널 열린 상태	1. Phone 버튼 클릭 2. 임의 키 입력 3. 자유시간 상태에서 해당 키 입력	변경한 키로 휴대폰이 열리고 기존 기본키는 동작하지 않는다				설정
14	플로우	타임라인	1일차 시작	1일차 타임라인이 CHAT -> FREEROAM -> STORY 순으로 진행되는지 확인한다	새 게임 시작 직후	1. 시작 버튼 클릭 2. 각 이벤트 종료까지 진행	FlowManager가 D1_CHAT_TO_SCHOOL -> D1_BEFORE_ASSEMBLY -> DAY1_CLASSOPEN 순으로 진행한다				플로우
15	플로우	타임라인	1~4일 공통 구조	1~4일차에 수업1/점심/수업2/방과후 흐름이 유지되는지 확인한다	각 일차 시작 상태	1. 해당 일차를 디버그 점프한다 2. 일과를 끝까지 진행	CLASS1_START -> CLASS1_Dx -> CLASS1_END -> LUNCH -> CLASS2_START -> CLASS2_Dx -> CLASS2_END -> AFTERSCHOOL 흐름이 유지된다				플로우
16	플로우	타임라인	벌점 청소 분기	벌점이 임계치 이상일 때 청소 스토리 이벤트가 삽입되는지 확인한다	penaltyPoints >= penaltyThreshold	1. 벌점을 임계치 이상으로 만든다 2. 방과후 이후까지 진행	Dx_CLEANING 스토리 이벤트가 조건부로 실행된다				플로우
17	플로우	학교규칙	실내화 미착용 분기	조회/조례 진입 시 실내화 미착용 벌점과 대체 대사가 적용되는지 확인한다	실내화 미착용 상태	1. 새 하루를 시작한다 2. 조례 스토리 진입	벌점 +1이 기록되고 *_NS 또는 *_NO_SLIPPERS 대사가 있으면 해당 대화가 우선 실행된다				플로우
18	플로우	학교규칙	실내화 자동 착용	조회 이벤트 종료 후 실내화 상태가 자동 착용으로 보정되는지 확인한다	실내화 미착용 상태에서 조회 이벤트 종료	1. 조회 스토리를 끝낸다	FlowManager.IsWearingSlippers 가 true 로 변경된다				플로우
19	지하철/채팅	진입	채팅 세그먼트 활성화	CHAT 상태 진입 시 해당 일차/상태의 채팅 세그먼트가 활성화되는지 확인한다	CHAT 씬 진입 상태	1. 새 게임 시작 또는 디버그로 CHAT 상태 진입	ChatService에 Room/Session 이 생성되고 알림 여부에 따라 unreadCount 가 증가한다				채팅
20	지하철/채팅	배지	홈 채팅 배지	미읽음이 있을 때 홈 화면 채팅 배지가 표시되는지 확인한다	미읽음 세션 존재	1. 채팅 미읽음 상태를 만든다 2. 휴대폰 홈 화면 확인	배지 루트가 활성화되고 총 미읽음 개수가 숫자로 표시된다				채팅
21	지하철/채팅	진행	채팅방 읽음 처리	채팅방 열람 시 해당 방 unread 가 0 으로 갱신되는지 확인한다	미읽음이 있는 방 존재	1. 채팅 앱 실행 2. 해당 방 열기	해당 roomId 의 unreadCount 가 0이 된다				채팅
22	지하철/채팅	이탈제한	미완료 상태 이탈 차단	미읽음 또는 미완료 세션이 남아 있으면 전원/닫기 버튼으로 지하철을 떠날 수 없는지 확인한다	CHAT 상태 + 미읽음 존재	1. 채팅을 끝내지 않은 상태에서 Btn_Power 또는 Btn_ClosePhone 클릭	로봇 말풍선으로 아직 내릴 역이 아니라는 메시지가 뜨고 현재 이벤트가 완료되지 않는다				채팅
23	지하철/건강앱	제출조건	유효하지 않은 설문 제출	설문 답이 조건과 다르면 제출이 거부되는지 확인한다	건강 설문 앱 진입 상태	1. Question_1/2/3에 오답 선택 2. 제출 클릭	제출 페이지로 넘어가지 않고 로봇 경고 말풍선이 표시된다				건강앱
24	지하철/건강앱	제출조건	유효한 설문 제출	조건에 맞는 답변 제출 시 완료 처리되는지 확인한다	건강 설문 앱 진입 상태	1. Q1=아니오 2. Q2=검사하지않음 3. Q3=아니오 4. 제출 클릭	Submit 페이지가 열리고 해당 일차 health checked 상태가 기록된다				건강앱
25	지하철/건강앱	재진입	완료 후 화면 상태	같은 날 설문 완료 후 재진입 시 질문 페이지가 아닌 완료 페이지가 열리는지 확인한다	같은 날 health checked 상태	1. 설문 완료 2. 앱을 닫고 다시 건강 앱 실행	QuestionPage 는 비활성화되고 SurmitPage 가 활성화된다				건강앱
26	지하철/이탈	벌점 없음	설문 완료 후 퇴장	설문을 완료한 날 전원 버튼으로 퇴장 시 벌점이 추가되지 않는지 확인한다	CHAT 상태 + health checked + 채팅 완료	1. 조건 충족 후 전원 버튼 클릭	현재 이벤트가 penaltyDelta 0 으로 완료된다				건강앱
27	지하철/이탈	벌점 부여	설문 미완료 퇴장	설문을 완료하지 않은 채 퇴장 시 벌점 +1이 기록되는지 확인한다	CHAT 상태 + 채팅 완료 + health unchecked	1. 전원 버튼 클릭	벌점 +1 이 추가되고 PenaltyReasonLog 에 PENALTY_HEALTH_SURVEY_MISSING 이 기록된다				건강앱
28	자유이동	스폰	플로우별 스폰 위치	자유이동 씬 진입 시 flowIdContains 와 일치하는 스폰 포인트로 플레이어가 배치되는지 확인한다	FREEROAM 진입 상태	1. 특정 FREEROAM flowId 로 진입 2. 씬 시작 위치 확인	FreeRoamFlowSpawnController 의 매칭 엔트리 위치에 플레이어가 배치된다				자유이동
29	자유이동	플레이어	좌우 이동	설정된 좌/우 키로 플레이어가 이동하는지 확인한다	FREEROAM 씬에서 Player 존재	1. 좌키 입력 2. 우키 입력	플레이어가 양 방향으로 이동한다				자유이동
30	자유이동	플레이어	점프	점프 키 입력 시 지면에서만 점프가 가능한지 확인한다	플레이어가 지면 위에 있음	1. 점프 키 입력 2. 공중에서 다시 점프 키 입력	지면에서는 점프하고 공중에서는 이중 점프되지 않는다				자유이동
31	자유이동	플레이어	달리기/스태미나 감소	Shift 달리기 중 스태미나가 감소하는지 확인한다	플레이어가 지면 위에서 이동 가능	1. 좌/우 이동과 Shift 를 함께 누른다	이동 속도가 증가하고 스태미나 게이지가 감소한다				자유이동
32	자유이동	플레이어	스태미나 회복	달리기를 멈추면 스태미나가 회복되는지 확인한다	스태미나가 감소한 상태	1. 이동/달리기 중지	시간 경과에 따라 스태미나가 maxStamina 까지 회복된다				자유이동
33	자유이동	플레이어	방향 전환	좌우 이동 방향에 따라 스프라이트가 반전되는지 확인한다	플레이어 이동 가능 상태	1. 왼쪽 이동 2. 오른쪽 이동	플레이어 localScale.x 가 반전되어 바라보는 방향이 바뀐다				자유이동
34	자유이동	플레이어	카메라 Y 보정	점프/착지에 따라 카메라 ScreenY 보정이 변경되는지 확인한다	Cinemachine 카메라 연결 상태	1. 지면에서 대기 2. 점프	공중에서는 airScreenY, 지면에서는 groundScreenY 방향으로 부드럽게 보정된다				자유이동
35	상호작용	대화	대화 시작	대화 트리거 범위 내에서 상호작용 키 입력 시 대화가 시작되는지 확인한다	DialogueTrigger 배치 씬	1. NPC 트리거 범위 진입 2. 상호작용 키 입력	대화가 시작되고 프롬프트는 숨겨진다				대화
36	상호작용	대화	PlayOnce	PlayOnce 대화가 1회만 실행되는지 확인한다	해당 DialogueBehavior 가 PlayOnce 인 트리거	1. 첫 대화 실행 2. 같은 날 다시 상호작용	첫 번째만 실행되고 이후에는 동일 대화가 재실행되지 않는다				대화
37	상호작용	대화	Random	랜덤 대화 동작이 등록된 목록 중 하나를 재생하는지 확인한다	Random 대화가 설정된 트리거	1. 상호작용 반복 실행	설정된 randomConversationIDs 중 하나가 랜덤으로 시작된다				대화
38	상호작용	대화	기본 대화 Fallback	맥락 대화가 없을 때 defaultConversationID 가 재생되는지 확인한다	조건 불일치 상태의 DialogueTrigger	1. 트리거와 상호작용	defaultConversationID 대화가 시작된다				대화
39	상호작용	프롬프트	키 바인딩 반영	상호작용 키 변경 후 대화/트리거 프롬프트가 새로운 키를 표시하는지 확인한다	상호작용 키 재설정 완료	1. FREEROAM 진입 2. 대화 트리거 접근	프롬프트 텍스트가 변경된 키로 표시된다				상호작용
40	상호작용	플로우트리거	FlowStepInteractionTrigger	특정 플로우 조건에서 상호작용 시 현재 이벤트가 완료되는지 확인한다	FlowStepInteractionTrigger 배치 상태	1. requiredFlowType/Id 가 일치하는 상태로 접근 2. 상호작용	FlowManager.CompleteCurrentEvent 가 호출되고 oneShot 설정에 따라 비활성화된다				상호작용
41	맵전환	포털	같은 씬 텔레포트	같은 씬 포털 사용 시 목적지 위치로 이동하는지 확인한다	MapTransitionPortal same-scene 설정	1. 포털 범위 진입 2. 조건에 맞게 트리거 또는 상호작용	플레이어가 sameSceneTarget 또는 sameSceneDestinationId 위치로 이동하고 속도가 초기화된다				맵전환
42	맵전환	포털	다른 씬 이동	다른 씬 포털 사용 시 대상 씬의 destinationId 위치에 스폰되는지 확인한다	MapTransitionPortal load scene 설정	1. 포털 사용 2. 씬 전환 완료 대기	대상 씬이 로드되고 지정된 MapTransitionDestination 위치로 플레이어가 이동한다				맵전환
43	맵전환	포털	계단 선택	계단 포털 접근 시 W/S 안내가 표시되고 선택에 따라 다른 목적지로 이동하는지 확인한다	StairChoice 포털 배치 상태	1. 계단 범위 진입 2. W 입력 3. 다시 접근 후 S 입력	각 입력에 따라 stairUp/stairDown 목적지로 이동한다				맵전환
44	휴대폰	열기/닫기	자유시간 상태 허용	점심 자유시간/방과후/Day5 자유시간에서만 휴대폰이 열리는지 확인한다	GameManager.currentState 제어 가능	1. 허용 상태에서 휴대폰 키 입력 2. 비허용 상태에서 동일 입력	허용 상태에서는 패널이 열리고 비허용 상태에서는 열리지 않는다				휴대폰
45	휴대폰	열기/닫기	플레이어 입력 잠금	휴대폰이 열린 동안 플레이어 이동이 비활성화되는지 확인한다	휴대폰 열기 가능 상태	1. 휴대폰 열기 2. 이동 키 입력 3. 휴대폰 닫기	열린 동안 PlayerController.enabled=false 이고 닫으면 true 로 복구된다				휴대폰
46	휴대폰	앱전환	홈 -> 규칙 앱	규칙 앱 버튼 클릭 시 해당 패널이 열리는지 확인한다	휴대폰 홈 화면 열린 상태	1. Rules 버튼 클릭	홈 패널이 숨겨지고 Rules 패널이 열린다				휴대폰
47	휴대폰	앱전환	홈 -> 채팅 앱	채팅 앱 버튼 클릭 시 채팅 패널이 열리는지 확인한다	휴대폰 홈 화면 열린 상태	1. Chat 버튼 클릭	채팅 패널이 열리고 CurrentApp 이 Chat 으로 변경된다				휴대폰
48	휴대폰	앱전환	홈 -> 갤러리 앱	갤러리 앱 버튼 클릭 시 갤러리 패널이 열리는지 확인한다	휴대폰 홈 화면 열린 상태	1. Gallery 버튼 클릭	갤러리 패널이 열린다				휴대폰
49	휴대폰	앱전환	홈 -> 설정 앱	설정 앱 버튼 클릭 시 설정 패널이 열리는지 확인한다	휴대폰 홈 화면 열린 상태	1. Settings 버튼 클릭	설정 패널이 열린다				휴대폰
50	휴대폰	앱전환	BackToHome	앱 화면에서 뒤로가기 동작 시 홈으로 복귀하는지 확인한다	임의 앱 열림 상태	1. Back 버튼 클릭	모든 앱 패널이 닫히고 홈 화면이 열린다				휴대폰
51	휴대폰	앱전환	건강 앱 조건	건강 앱은 허용 플로우에서만 열리는지 확인한다	휴대폰 홈 화면 상태	1. 건강 앱 허용 상태에서 버튼 클릭 2. 비허용 상태에서 버튼 클릭	허용 상태에서만 건강 앱이 열린다				휴대폰
52	휴대폰	채팅	세션 시작	채팅 세션 선택 시 activeSessionId 가 설정되는지 확인한다	미완료 세션 존재	1. 채팅방에서 대화 세션 시작	HasActiveSession=true 가 되고 activeSessionId 에 해당 세션이 기록된다				채팅
53	휴대폰	채팅	세션 완료	대화 세션 완료 후 activeSessionId 가 해제되는지 확인한다	활성 세션 진행 중	1. 세션을 끝까지 진행	세션 completed=true, activeSessionId=null 로 저장된다				채팅
54	휴대폰	채팅	다중 세션 제한	이미 activeSession 이 있을 때 다른 세션 시작이 차단되는지 확인한다	활성 세션 존재	1. 한 세션 시작 2. 다른 세션 시작 시도	새 세션이 시작되지 않는다				채팅
55	휴대폰	갤러리	목록 표시	갤러리 앱이 엔트리 목록과 잠금 상태를 표시하는지 확인한다	GalleryEntries 데이터 존재	1. 갤러리 앱 실행	카드 목록이 생성되고 잠금 상태/열람 가능 상태가 표시된다				갤러리
56	휴대폰	갤러리	상세 팝업	해금된 항목 클릭 시 상세 오버레이가 표시되는지 확인한다	해금된 갤러리 항목 존재	1. 해금 카드 클릭	상세 이미지/제목/설명이 표시되는 오버레이가 열린다				갤러리
57	휴대폰	갤러리	잠금 항목	잠긴 항목은 클릭 불가능한지 확인한다	잠금 상태의 갤러리 항목 존재	1. 잠긴 카드 클릭	버튼이 비활성 또는 반응하지 않고 상세 오버레이가 열리지 않는다				갤러리
58	휴대폰	벌점목록	빈 상태	벌점 로그가 없을 때 빈 안내 문구가 출력되는지 확인한다	PenaltyReasonLog 비어 있음	1. 벌점 앱/영역 진입	빈 상태 문구가 표시된다				벌점
59	휴대폰	벌점목록	항목 표시	벌점이 존재할 때 사유/점수/일차가 목록으로 표시되는지 확인한다	PenaltyReasonLog 에 1건 이상 존재	1. 벌점 추가 2. 목록 화면 진입	각 항목이 점수와 사유 텍스트로 표시된다				벌점
60	휴대폰	설정앱	언어 토글	휴대폰 설정 앱에서도 언어 전환이 동작하는지 확인한다	휴대폰 설정 앱 열린 상태	1. Language 버튼 클릭	언어 라벨과 관련 UI가 전환된다				휴대폰설정
61	휴대폰	설정앱	키 재설정	휴대폰 설정 앱에서도 키 재설정이 동작하는지 확인한다	휴대폰 설정 앱 열린 상태	1. 임의 키 항목 클릭 2. 새 키 입력	설정이 저장되고 버튼 라벨이 갱신된다				휴대폰설정
62	휴대폰	설정앱	볼륨 슬라이더	휴대폰 설정 앱 볼륨 슬라이더가 동작하는지 확인한다	휴대폰 설정 앱 열린 상태	1. 슬라이더 이동	AudioListener.volume 이 갱신된다				휴대폰설정
63	미니게임	라우팅	수업1 기본 라우팅	CLASS1_D1 등 일반 수업1 플로우는 Croquis 가 실행되는지 확인한다	FLOW_ID=CLASS1_D1	1. MINIGAME 씬 진입	MinigameSceneBootstrap 이 CroquisMinigameController 만 활성화한다				미니게임
64	미니게임	라우팅	수업1 수학 라우팅	CLASS1_D2 는 Math 미니게임으로 라우팅되는지 확인한다	FLOW_ID=CLASS1_D2	1. MINIGAME 씬 진입	MathMinigameController 가 활성화되고 Croquis 는 비활성화된다				미니게임
65	미니게임	라우팅	점심 라우팅	LUNCH_ 접두 플로우는 Tetris 로 라우팅되는지 확인한다	FLOW_ID=LUNCH_Tetris1 등	1. MINIGAME 씬 진입	TetrisMinigameController 가 활성화된다				미니게임
66	미니게임	라우팅	수업2 기본 라우팅	CLASS2_D1/D3/D4 는 PixelPaint 로 라우팅되는지 확인한다	FLOW_ID=CLASS2_D1	1. MINIGAME 씬 진입	PixelPaintMinigameController 가 활성화된다				미니게임
67	미니게임	라우팅	수업2 발표 라우팅	CLASS2_D2 는 발표 타자 미니게임으로 라우팅되는지 확인한다	FLOW_ID=CLASS2_D2	1. MINIGAME 씬 진입	PresentationTypingMinigameController 가 활성화되고 PixelPaint 는 비활성화된다				미니게임
68	미니게임	점심테트리스	시작	점심 테트리스가 시작 시 보드와 첫 블록을 생성하는지 확인한다	LUNCH_ 플로우로 MINIGAME 진입	1. 점심 미니게임 진입	보드가 초기화되고 첫 블록이 스폰된다				테트리스
69	미니게임	점심테트리스	조작	좌우 이동/회전/낙하가 정상 동작하는지 확인한다	점심 테트리스 실행 중	1. 좌/우 입력 2. 회전 입력 3. 아래 입력	블록이 정상적으로 이동, 회전, 낙하한다				테트리스
70	미니게임	점심테트리스	성공 종료	목표 블록 수를 달성하면 현재 이벤트가 성공 처리되는지 확인한다	targetLockedPieces 달성 가능 상태	1. 목표 개수만큼 블록 고정	FlowManager.CompleteCurrentEvent(0) 이 호출된다				테트리스
71	미니게임	점심테트리스	실패 종료	스폰 위치가 막히면 실패 처리와 벌점이 적용되는지 확인한다	게임오버 직전 보드 상태	1. 보드를 가득 채워 새 블록 스폰 유도	미니게임이 실패 종료되고 penaltyOnFail 값이 반영된다				테트리스
72	미니게임	크로키	시작	크로키 미니게임 시작 시 종이/스케치/프롬프트/UI가 생성되는지 확인한다	CLASS1_D1 등으로 진입	1. 크로키 미니게임 진입	종이 비주얼과 프롬프트 마커, 상태 UI가 표시된다				크로키
73	미니게임	크로키	성공 판정	클릭 또는 드래그 프롬프트 성공 시 진행도가 증가하는지 확인한다	크로키 실행 중	1. 지시된 클릭 또는 드래그 수행	성공 카운트와 스케치 리빌이 증가한다				크로키
74	미니게임	크로키	스테이지 완료	스테이지 목표를 채우면 다음 스테이지로 넘어가는지 확인한다	현재 스테이지 목표 직전	1. 마지막 성공 수행	현재 스테이지가 완료되고 다음 스테이지 프롬프트가 생성된다				크로키
75	미니게임	크로키	전체 완료	마지막 스테이지 완료 시 성공 종료되는지 확인한다	3스테이지 마지막 목표 직전	1. 마지막 성공 수행	미니게임이 성공 종료되고 현재 플로우가 완료된다				크로키
76	미니게임	수학	시작	UI 생성	수학 미니게임 시작 시 문제/그림판/입력 UI가 생성되는지 확인한다	CLASS1_D2 로 진입	1. 수학 미니게임 진입	문제 영역, 그림판, 답 입력 UI가 표시된다				수학
77	미니게임	수학	정답 처리	정답 제출 시 다음 문제로 넘어가는지 확인한다	문제 데이터 존재	1. 정답 입력 2. 제출	성공 피드백 후 다음 문제로 전환된다				수학
78	미니게임	수학	전체 완료	마지막 문제 정답 후 성공 종료되는지 확인한다	마지막 문제 도달 상태	1. 마지막 정답 제출	미니게임이 성공 종료되고 현재 이벤트가 완료된다				수학
79	미니게임	픽셀페인트	시작	퍼즐 보드와 팔레트가 표시되는지 확인한다	CLASS2_D1/D3/D4 로 진입	1. 픽셀페인트 진입	보드, 숫자, 팔레트 버튼, 헤더 UI가 표시된다				픽셀페인트
80	미니게임	픽셀페인트	페인팅	팔레트 선택 후 셀 칠하기가 반영되는지 확인한다	픽셀페인트 실행 중	1. 색상 선택 2. 셀 클릭 또는 드래그	선택한 색상이 셀에 반영된다				픽셀페인트
81	미니게임	픽셀페인트	완료 처리	퍼즐 정답을 모두 맞추면 다음 퍼즐 또는 종료로 진행되는지 확인한다	정답 직전 상태	1. 마지막 정답 셀 칠하기	playAllPuzzlesInOneRun 설정에 따라 다음 퍼즐 또는 성공 종료가 실행된다				픽셀페인트
82	미니게임	발표타자	단어 단계	단어가 시간차를 두고 랜덤 위치에서 내려오는지 확인한다	CLASS2_D2 로 진입	1. 발표 미니게임 진입 2. 첫 라운드 관찰	각 키워드 단어가 설정된 간격으로 랜덤 가로 위치에서 순차적으로 떨어진다				발표타자
83	미니게임	발표타자	단어 성공	떨어지는 단어를 정확히 입력하면 해당 단어가 성공 처리되는지 확인한다	발표 미니게임 단어 단계	1. 화면의 단어를 입력하고 엔터	해당 단어가 성공 처리되고 성공 피드백이 출력된다				발표타자
84	미니게임	발표타자	단어 실패 긴장감	단어를 놓치면 긴장감이 10 증가하는지 확인한다	발표 미니게임 단어 단계	1. 단어를 입력하지 않고 바닥까지 기다린다	해당 단어가 실패 처리되고 긴장감이 10 증가한다				발표타자
85	미니게임	발표타자	문장 단계 전환	모든 단어가 처리되면 문장 패널과 제한시간 바가 표시되는지 확인한다	한 라운드의 단어 처리 완료 상태	1. 단어를 모두 입력 또는 놓친다	문장 패널이 표시되고 완성 문장과 타이머 바가 나타난다				발표타자
86	미니게임	발표타자	시간바 감소	문장 단계에서 시간바가 시간 경과에 따라 줄어드는지 확인한다	문장 패널 표시 상태	1. 문장 패널이 나타난 뒤 대기	시간바가 100%에서 0% 방향으로 점차 감소한다				발표타자
87	미니게임	발표타자	문장 성공	제한시간 안에 문장을 입력하면 플레이어 말풍선이 출력되는지 확인한다	문장 패널 표시 상태	1. 표시된 문장을 그대로 입력하고 엔터	문장 성공 처리 후 플레이어 말풍선에 완성 문장이 표시된다				발표타자
88	미니게임	발표타자	문장 실패 긴장감	제한시간 내 문장을 입력하지 못하면 긴장감이 20 증가하는지 확인한다	문장 패널 표시 상태	1. 문장을 입력하지 않고 시간 종료까지 대기	문장 실패 처리와 함께 긴장감이 20 증가한다				발표타자
89	미니게임	발표타자	게임오버	긴장감이 100이 되면 선생님 말풍선 후 실패 종료되는지 확인한다	긴장감 90 이상 상태	1. 단어 또는 문장을 한 번 더 실패한다	선생님 말풍선에 "들어가봐라."가 표시된 뒤 미니게임이 실패 종료된다				발표타자
90	미니게임	발표타자	완주 보상	긴장감 0으로 전 라운드를 완료하면 퍼펙트 플래그가 기록되는지 확인한다	모든 라운드를 무실수로 완료 가능 상태	1. 모든 라운드를 긴장감 0으로 완료	PlayerPrefs ACH_PRESENTATION_D2_PERFECT 값이 1로 기록되고 미니게임이 성공 종료된다				발표타자
